Date,USD,EUR,JPY,GBP,AUD,CAD,NZD,SEK,NOK,VIX,USDi,NZDi,GBPi,NOKi,JPYi,CADi,AUDi,CHFi,SEKi,EURi
2007-12-31,1.1329,1.65437387,0.0101414376510607,2.24801347,0.99423304,1.146543872077725,0.8698406200000001,0.1754584314211374,0.2085987847541889,22.5,5.02,8.9,6.35943,5.96,0.86,4.796316,7.29,2.312795,4.12,4.8484
2008-01-31,1.0845,1.60950645,0.0101602023608768,2.15761275,0.9725796,1.08255140746656,0.8550198,0.1700963016405784,0.2003658131027602,26.2,3.84,8.75,5.65965,5.79,0.85,4.246364,7.18,2.286765,4.11,4.4815
2008-02-29,1.0435,1.58476345,0.0100153565601305,2.0728084,0.9777595,1.06523070641078,0.8376174500000001,0.1690809514550522,0.2004379477920132,26.54,3.06,8.82,5.64202,5.91,0.85,3.82,7.69,2.42776,4.21,4.3621
2008-03-31,0.9921,1.56801405,0.0099359038557836,1.96981455,0.90598572,0.9655474452554744,0.7797906,0.1671327493261455,0.195191532059732,25.61,2.79,8.91,5.89929,6.18,0.84,3.583,7.9,2.240143,4.24,4.5964
2008-04-30,1.0422,1.62249696,0.009970343442074,2.06845434,0.98164818,1.0326991676575503,0.8139582000000001,0.1739609414121181,0.2036541279921837,20.79,2.85,8.87,5.91881,6.3,0.84,3.457,7.84,2.076832,4.14,4.7835
2008-05-31,1.0426,1.6222856,0.0098862127820974,2.06361818,0.99578726,1.049104447574965,0.81718988,0.173885488417085,0.2049457461865073,17.83,2.66,8.71,5.82639,6.48,0.84,3.1505,7.75,2.034167,4.11,4.8574
2008-06-30,1.0202,1.60661096,0.0096091174531411,2.03081012,0.97551524,1.00166912125675,0.77627018,0.169445920807866,0.2004361578812943,23.95,2.76,8.68,5.92944,6.41,0.86,3.177647,7.81,2.141924,4.17,4.9405
2008-07-31,1.0489,1.6351302099999998,0.0097030527289546,2.07745134,0.98753935,1.022220056524705,0.7698925999999999,0.1732802484636225,0.2043723087114938,22.94,2.79,8.46,5.8322,6.46,0.85,3.267,7.75,2.1639,4.34,4.961
2008-08-31,1.1019,1.6163771100000002,0.0101380071763731,2.0043561000000003,0.94355697,1.0364970369673598,0.7703382900000001,0.171105141384183,0.2031489094965063,20.65,2.79,8.2,5.76619,6.53,0.85,3.23,7.31,2.19375,4.4,4.9652
2008-09-30,1.1189,1.57552309,0.0105616386633943,1.99208956,0.88437856,1.0558648674153062,0.7485441,0.1610878359895766,0.1899983019188317,39.39,3.59,7.95,5.9106,6.82,0.87,3.716667,7.27,1.904141,4.49,5.0192
